排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,名称与实物核验说明
306,P3 先解决具体问题,C384-015,mesalamine,Cyclooxygenase; Peroxisome proliferator-activated receptor gamma; Polyunsaturated fatty acid 5-lipoxygenase,XDH — Xanthine dehydrogenase/oxidase,ALLOPURINOL; ALLOPURINOL SODIUM; FEBUXOSTAT,TOPIROXOSTAT,12,先解决具体问题,按精确结构查5-ASA原始XO测量，明确XDH/XO状态和物种；先酶活再用匹配人蛋白确认结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
307,P3 先解决具体问题,C384-231,rivaroxaban,Coagulation factor X,LCK — Tyrosine-protein kinase Lck,PAZOPANIB HYDROCHLORIDE,DASATINIB ANHYDROUS,12,先解决具体问题,先界定免疫目标；纯LCK探索可与疗效推断分开。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
308,P3 先解决具体问题,C384-365,selumetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT TARTRATE; MIGLUSTAT,ELIGLUSTAT,12,先解决具体问题,UGCG特异糖脂产物及MEK/细胞毒性对照。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
309,P3 先解决具体问题,C384-016,sotalol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor; Voltage-gated inwardly rectifying potassium channel KCNH2,CYP26A1 — Cytochrome P450 26A1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,TALAROZOLE,13,先解决具体问题,先查42化合物筛查是否有本药及有效浓度；若无额外支持，只在CYP26A1对照已测通时追加。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
310,P3 先解决具体问题,C384-050,sufentanil,Mu-type opioid receptor,F12 — Coagulation factor XII,HUMAN C1-ESTERASE INHIBITOR,SEPIMOSTAT,13,先解决具体问题,明确F12a活性构建和参照；只作脱靶侦察，不作溃疡治疗依据。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
311,P3 先解决具体问题,C384-144,levamlodipine,Voltage-gated L-type calcium channel,CA1 — Carbonic anhydrase 1,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; METHOCARBAMOL,ETHOXZOLAMIDE,13,先解决具体问题,核对论文受测立体实体和端点；若匹配则重审新颖性，同时做CA1/CA2选择性验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
312,P3 先解决具体问题,C384-192,calcipotriene,Vitamin D3 receptor,AR — Androgen receptor,ABIRATERONE; APALUTAMIDE; BICALUTAMIDE; CLASCOTERONE; DANAZOL; DAROLUTAMIDE; DROMOSTANOLONE PROPIONATE; ENZALUTAMIDE; ETHYLESTRENOL; FLUOXYMESTERONE; FLUTAMIDE; METHYLTESTOSTERONE; NANDROLONE DECANOATE; NANDROLONE PHENPROPIONATE; NILUTAMIDE; OXANDROLONE; OXYMETHOLONE; STANOZOLOL; TESTOSTERONE; TESTOSTERONE CYPIONATE; TESTOSTERONE ENANTHATE; TESTOSTERONE PROPIONATE; TESTOSTERONE UNDECANOATE,TESTOSTERONE,13,先解决具体问题,核对纯calcipotriene而非复方，先AR/VDR竞争对比并测实际溶解度；阳性后用功能报告。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
313,P3 先解决具体问题,C384-233,norephinephrine,Adrenergic receptor,CTSC — Dipeptidyl peptidase 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BRENSOCATIB,13,先解决具体问题,核对小分子实体、稳定性和成熟CTSC。,导出名按GSRS完整InChIKey对应实体显示；原冻结名称另列，配对与审查暂停条件不变。
314,P3 先解决具体问题,C384-235,brexpiprazole,5-hydroxytryptamine receptor 1A; 5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,"PDE5A — cGMP-specific 3',5'-cyclic phosphodiesterase",AVANAFIL; IBUDILAST; SILDENAFIL CITRATE; TADALAFIL; VARDENAFIL HYDROCHLORIDE,CHEMBL2180945,13,先解决具体问题,先确认疾病获益及暴露假设；二元结合侦察可独立开展。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
315,P3 先解决具体问题,C384-171,aripiprazole,5-hydroxytryptamine receptor 1A; 5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,PTK2 — Focal adhesion kinase 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,13,先解决具体问题,先做FAK酶学/结合竞争，查明构建；若仅细胞黏附或信号改变不升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
316,P3 先解决具体问题,C384-219,ivosidenib,Isocitrate dehydrogenase [NADP] cytoplasmic,AKT1 — RAC-alpha serine/threonine-protein kinase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,IPATASERTIB,13,先解决具体问题,实测可用浓度与非特异信号，使用明确状态AKT1。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
317,P3 先解决具体问题,C384-340,afatinib,Epidermal growth factor receptor; Receptor tyrosine-protein kinase erbB-2; Receptor tyrosine-protein kinase erbB-4,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",LEVOKETOCONAZOLE,OSILODROSTAT,13,先解决具体问题,11B1/11B2产物及非特异反应对照，疾病目标明确。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
318,P3 先解决具体问题,C384-341,baclofen,GABA-B receptor,CYP46A1 — Cholesterol 24-hydroxylase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,VORICONAZOLE,13,先解决具体问题,功能体系先测通，明确作用方向后再评癫痫。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
319,P3 先解决具体问题,C384-342,clobazam,GABA-A receptor; anion channel,CYP46A1 — Cholesterol 24-hydroxylase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,VORICONAZOLE,13,先解决具体问题,固定待测化学种并确认CYP46A1功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
320,P3 先解决具体问题,C384-366,esmolol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor,ACE — Angiotensin-converting enzyme,BENAZEPRIL HYDROCHLORIDE; CAPTOPRIL; CILAZAPRIL; ENALAPRIL MALEATE; ENALAPRILAT; FOSINOPRIL SODIUM; IMIDAPRIL; LISINOPRIL; MOEXIPRIL HYDROCHLORIDE; PERINDOPRIL ARGININE; PERINDOPRIL ERBUMINE; QUINAPRIL HYDROCHLORIDE; RAMIPRIL; SPIRAPRIL HYDROCHLORIDE; TRANDOLAPRIL,LISINOPRIL ANHYDROUS,13,先解决具体问题,确认测试期间母药浓度，ACE功能与参考物校准。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
321,P3 先解决具体问题,C384-017,ozenoxacin,DNA gyrase; DNA topoisomerase IV; Topoisomerase IV,TYK2 — Non-receptor tyrosine-protein kinase TYK2,DEUCRAVACITINIB; DEURUXOLITINIB PHOSPHATE; FILGOTINIB; FILGOTINIB MALEATE; UPADACITINIB HEMIHYDRATE,STAUROSPORINE,14,先解决具体问题,先核TYK2预测位点与蛋白域，已有匹配体系才侦察；直接作用阳性后另查给药暴露。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
322,P3 先解决具体问题,C384-239,dexrazoxane,DNA topoisomerase II; Iron,MMP7 — Matrilysin,DOXYCYCLINE; DOXYCYCLINE CALCIUM; DOXYCYCLINE HYCLATE,PRINOMASTAT,14,先解决具体问题,核对化学种、金属条件和MMP反筛后可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
323,P3 先解决具体问题,C384-278,rolapitant,Substance-P receptor,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5810180,14,先解决具体问题,实测溶解浓度及PDE9A参考物，合格即可小筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
324,P3 先解决具体问题,C384-112,glasdegib,Protein smoothened,FLT3 — Receptor-type tyrosine-protein kinase FLT3,FEDRATINIB; FEDRATINIB HYDROCHLORIDE; GILTERITINIB; GILTERITINIB FUMARATE; MIDOSTAURIN; PACRITINIB; PACRITINIB CITRATE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; QUIZARTINIB DIHYDROCHLORIDE; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE,STAUROSPORINE,14,先解决具体问题,优先核原始FLT3 panel的药物身份和突变；确认已有直接记录则改为机制确认而非全新关系。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
325,P3 先解决具体问题,C384-220,bempedoic acid,ATP-citrate synthase,MMP12 — Macrophage metalloelastase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL2385479,14,先解决具体问题,固定母体身份与实际溶解浓度，再测MMP12。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
326,P3 先解决具体问题,C384-297,pomalidomide,CRL4(CRBN) E3 ubiquitin ligase,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",ALPELISIB; COPANLISIB; COPANLISIB HYDROCHLORIDE; INAVOLISIB,WORTMANNIN,14,先解决具体问题,匹配PI3Kα复合体系后测母药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
327,P3 先解决具体问题,C384-300,relugolix,Gonadotropin-releasing hormone receptor,KDR — Vascular endothelial growth factor receptor 2,CABOZANTINIB S-MALATE; MIDOSTAURIN; RAMUCIRUMAB; SUNITINIB,LINIFANIB,14,先解决具体问题,KDR域活性/溶解性合格；疾病意义独立论证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
328,P3 先解决具体问题,C384-343,oliceridine,Mu-type opioid receptor,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",LEVOKETOCONAZOLE,OSILODROSTAT,14,先解决具体问题,11B1/11B2产物、血红素和疾病目标先明确。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
329,P3 先解决具体问题,C384-344,diazepam,GABA-A receptor; anion channel,CYP46A1 — Cholesterol 24-hydroxylase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,VORICONAZOLE,14,先解决具体问题,取回逐药浓度和激活/抑制端点，未测仍可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
330,P3 先解决具体问题,C384-345,dimethyl fumarate,Kelch-like ECH-associated protein 1,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN CALCIUM; FLUVASTATIN SODIUM; LOVASTATIN; PITAVASTATIN CALCIUM; PITAVASTATIN MAGNESIUM; PITAVASTATIN SODIUM; PRAVASTATIN SODIUM; ROSUVASTATIN CALCIUM; SIMVASTATIN,ATORVASTATIN,14,先解决具体问题,核对实物、稳定性和纯HMGCR功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
331,P3 先解决具体问题,C384-346,linagliptin,Dipeptidyl peptidase 4,"PDE5A — cGMP-specific 3',5'-cyclic phosphodiesterase",AVANAFIL; IBUDILAST; SILDENAFIL CITRATE; TADALAFIL; VARDENAFIL HYDROCHLORIDE,CHEMBL2180945,14,先解决具体问题,将配对机制侦察与妊娠转化分开，先纯PDE5功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
332,P3 先解决具体问题,C384-347,colchicine,Tubulin,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT TARTRATE; MIGLUSTAT,ELIGLUSTAT,14,先解决具体问题,UGCG专一产物与微管对照，成熟功能体系先确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
333,P3 先解决具体问题,C384-384,umeclidinium,Muscarinic acetylcholine receptor M3,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",LEVOKETOCONAZOLE,OSILODROSTAT,14,先解决具体问题,模型/实物一致，11B1/11B2功能及可用浓度确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
334,P3 先解决具体问题,C384-172,brexanolone,GABA-A receptor; anion channel,ESR1 — Estrogen receptor,CLOMIPHENE CITRATE; DIETHYLSTILBESTROL; ELACESTRANT; ELACESTRANT HYDROCHLORIDE; ESTRADIOL; ESTRADIOL ACETATE; ESTRADIOL CYPIONATE; ESTRADIOL VALERATE; ESTRONE; ESTROPIPATE; ETHINYL ESTRADIOL; FULVESTRANT; MESTRANOL; POLYESTRADIOL PHOSPHATE; RALOXIFENE; TAMOXIFEN CITRATE,CHEMBL377849,15,先解决具体问题,先核实监管完整ERα面板与受测条件，确认样品可溶性；ERα竞争效应成立后再SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
335,P3 先解决具体问题,C384-175,ozanimod,Sphingosine 1-phosphate receptor 1; Sphingosine 1-phosphate receptor 5,PRKCB — Protein kinase C beta type,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ENZASTAURIN,15,先解决具体问题,核对纯母药身份并先做PKCβ活性，若只有免疫细胞下游变化则继续后置。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
336,P3 先解决具体问题,C384-274,chloroprocaine,Sodium channel alpha subunit,ACHE — Acetylcholinesterase,AMBENONIUM CHLORIDE; BENZGALANTAMINE GLUCONATE; DEMECARIUM BROMIDE; DISTIGMINE; DONEPEZIL HYDROCHLORIDE; ECHOTHIOPHATE; ECHOTHIOPHATE IODIDE; EDROPHONIUM CHLORIDE; GALANTAMINE HYDROBROMIDE; HEXAFLUORENIUM BROMIDE; ISOFLUROPHATE; NEOSTIGMINE METHYLSULFATE; PHYSOSTIGMINE SALICYLATE; PRALIDOXIME CHLORIDE; PYRIDOSTIGMINE BROMIDE,HUPERZINE A,15,先解决具体问题,并测AChE/BChE及母药稳定性，区分底物与抑制剂。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
337,P3 先解决具体问题,C384-349,cobimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,HDAC11 — Histone deacetylase 11,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,PANOBINOSTAT,15,先解决具体问题,匹配底物参考物后可探索母药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
338,P3 先解决具体问题,C384-020,etonogestrel,Progesterone receptor,CYP19A1 — Aromatase,AMINOGLUTETHIMIDE; ANASTROZOLE; EXEMESTANE; LETROZOLE; TESTOLACTONE,ANASTROZOLE,16,先解决具体问题,核对含血红素构建并区分底物代谢与抑制；先取得直接酶证据，再决定疾病方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
339,P3 先解决具体问题,C384-056,indacaterol,Beta-2 adrenergic receptor,TYK2 — Non-receptor tyrosine-protein kinase TYK2,DEUCRAVACITINIB; DEURUXOLITINIB PHOSPHATE; FILGOTINIB; FILGOTINIB MALEATE; UPADACITINIB HEMIHYDRATE,STAUROSPORINE,16,先解决具体问题,先核催化域/假激酶域，避免以不匹配构建浪费测试。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
340,P3 先解决具体问题,C384-076,umeclidinium,Muscarinic acetylcholine receptor M3,EGLN3 — Prolyl hydroxylase EGLN3,VADADUSTAT,CHEMBL3133890,16,先解决具体问题,先核可溶工作液和活性羟化酶，已有体系才候补。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
341,P3 先解决具体问题,C384-177,varenicline,Neuronal acetylcholine receptor; alpha4/beta2,MAPKAPK2 — MAP kinase-activated protein kinase 2,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,16,先解决具体问题,核对MK2专用酶学与原监管面板是否覆盖该酶，得到重复效应再SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
342,P3 先解决具体问题,C384-178,copanlisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",NTRK3 — NT-3 growth factor receptor,REPOTRECTINIB,STAUROSPORINE,16,先解决具体问题,取得面板具体靶点/浓度，确认TRKC构建与融合背景；有明确反证则停，缺失则小额酶学。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
343,P3 先解决具体问题,C384-180,benoxinate,Sodium channel alpha subunit,PPARD — Peroxisome proliferator-activated receptor delta,ELAFIBRANOR; SELADELPAR; SELADELPAR LYSINE,CHEMBL38508,16,先解决具体问题,确认受测单药而非荧光素复方，先PPARδ竞争/报告验证；不因给药部位相同升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
344,P3 先解决具体问题,C384-181,migalastat,Alpha-galactosidase A,UMPS — Uridine 5'-monophosphate synthase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5653589,16,先解决具体问题,先提出可检验的UMPS稳定/功能恢复假设，核对双功能结构域；只见抑制不作为该病正向候选。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
345,P3 先解决具体问题,C384-301,sonidegib,Protein smoothened,NTRK2 — BDNF/NT-3 growth factors receptor,REPOTRECTINIB,STAUROSPORINE,16,先解决具体问题,先查面板覆盖并实测可溶浓度；未测不作阴性。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
346,P3 先解决具体问题,C384-352,pilocarpine,Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M3,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",ABIRATERONE; ABIRATERONE ACETATE; LEVOKETOCONAZOLE,BIFONAZOLE,16,先解决具体问题,取回Table4/筛选图，再按真实浓度与端点决定复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
347,P3 先解决具体问题,C384-374,lesinurad,Solute carrier family 22 member 12,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT TARTRATE; MIGLUSTAT,ELIGLUSTAT,16,先解决具体问题,明确糖脂改变如何改善疾病，再建UGCG功能；纯结合可独立侦察。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
348,P3 先解决具体问题,C384-021,tedizolid,Bacterial 70S ribosome,"PDE10A — cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",IBUDILAST,CHEMBL248380,17,先解决具体问题,先查panel；未覆盖时可用成熟PDE10A酶活候补，再确认SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
349,P3 先解决具体问题,C384-058,trospium,Muscarinic acetylcholine receptor M2; Muscarinic acetylcholine receptor M3,CYP26A1 — Cytochrome P450 26A1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,TALAROZOLE,17,先解决具体问题,先解决血红素构建和功能参照，不凭图谱排名8升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
350,P3 先解决具体问题,C384-182,remimazolam,GABA-A receptor; anion channel,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5810180,17,先解决具体问题,先核对样品稳定性，用PDE9酶活检测，只有直接作用才安排SPR复测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
351,P3 先解决具体问题,C384-353,epinephrine,Adrenergic receptor,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,BALSALAZIDE DISODIUM; MECLOFENAMATE SODIUM; MESALAMINE; OLSALAZINE SODIUM; SULFASALAZINE; ZILEUTON,CHEMBL3113617,17,先解决具体问题,纯酶与细胞产物并行，监测稳定性和氧化干扰。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
352,P3 先解决具体问题,C384-355,imipenem,Bacterial penicillin-binding protein,MMP8 — Neutrophil collagenase,DOXYCYCLINE; DOXYCYCLINE CALCIUM; DOXYCYCLINE HYCLATE,CIPEMASTAT,17,先解决具体问题,记录稳定性及成熟MMP8功能，复方抗菌效应不作支持。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
353,P3 先解决具体问题,C384-376,osilodrostat,"Cytochrome P450 11B1, mitochondrial",UGCG — Ceramide glucosyltransferase,ELIGLUSTAT TARTRATE; MIGLUSTAT,ELIGLUSTAT,17,先解决具体问题,UGCG产物/参考物合格，甾体作用单独记录。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
354,P3 先解决具体问题,C384-022,tedizolid,Bacterial 70S ribosome,NTRK3 — NT-3 growth factor receptor,REPOTRECTINIB,STAUROSPORINE,18,先解决具体问题,先核旧panel，若TrkB确有信号再考虑TrkC交叉验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
355,P3 先解决具体问题,C384-064,furosemide,Solute carrier family 12 member 1,F7 — Coagulation factor VII,COAGULATION FACTOR VII HUMAN; EPTACOG ALFA (ACTIVATED); EPTACOG BETA (ACTIVATED),CHEMBL3127491,18,先解决具体问题,确认F7a活性构建和对照；已有体系才低成本追加。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
356,P3 先解决具体问题,C384-256,ranolazine,Sodium channel protein type 4 subunit alpha; Sodium channel protein type 5 subunit alpha,PDGFRA — Platelet-derived growth factor receptor alpha,AVAPRITINIB; OLARATUMAB; RIPRETINIB; SUNITINIB,STAUROSPORINE,18,先解决具体问题,明确疾病基因背景、PDGFRA构建；纯结合探索不外推疗效。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
357,P3 先解决具体问题,C384-279,bempedoic acid,ATP-citrate synthase,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,18,先解决具体问题,固定待测化学种，再做CA4功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
358,P3 先解决具体问题,C384-281,macimorelin,Growth hormone secretagogue receptor type 1,MMP3 — Stromelysin-1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ILOMASTAT,18,先解决具体问题,成熟MMP3对照和邻居端点确认后可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
359,P3 先解决具体问题,C384-183,pantoprazole,Potassium-transporting ATPase,"NOS2 — Nitric oxide synthase, inducible",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,1400W,18,先解决具体问题,核对母药和活化形式、NOS2辅因子/构建，用酶学区分直接作用与间接NO变化。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
360,P3 先解决具体问题,C384-184,asenapine,5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,18,先解决具体问题,先核查原始受体面板是否含MR，再做配体竞争/报告验证；缺乏配对证据不升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
361,P3 先解决具体问题,C384-356,palonosetron,5-hydroxytryptamine receptor 3A,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",LEVOKETOCONAZOLE,OSILODROSTAT,18,先解决具体问题,11B1/11B2构建和产物参考体系明确后可测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
362,P3 先解决具体问题,C384-377,remimazolam,GABA-A receptor; anion channel,ACHE — Acetylcholinesterase,AMBENONIUM CHLORIDE; BENZGALANTAMINE GLUCONATE; DEMECARIUM BROMIDE; DISTIGMINE; DONEPEZIL HYDROCHLORIDE; ECHOTHIOPHATE; ECHOTHIOPHATE IODIDE; EDROPHONIUM CHLORIDE; GALANTAMINE HYDROBROMIDE; HEXAFLUORENIUM BROMIDE; ISOFLUROPHATE; NEOSTIGMINE METHYLSULFATE; PHYSOSTIGMINE SALICYLATE; PRALIDOXIME CHLORIDE; PYRIDOSTIGMINE BROMIDE,HUPERZINE A,18,先解决具体问题,先查逐药清单并核对实体稳定性，未测仍可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
363,P3 先解决具体问题,C384-282,lifitegrast,Integrin alpha-L/beta-2 (LFA-1),TYMS — Thymidylate synthase,CAPECITABINE; FLOXURIDINE; FLUOROURACIL; PEMETREXED; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; RALTITREXED; TEGAFUR,5-FLUORODEOXYURIDYLATE,19,先解决具体问题,实测可用浓度和TYMS功能，避免仅细胞增殖归因。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
364,P3 先解决具体问题,C384-189,copanlisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",NTRK2 — BDNF/NT-3 growth factors receptor,REPOTRECTINIB,STAUROSPORINE,19,先解决具体问题,核查原始220激酶面板是否含TRKB及构建；若未测则先低成本酶学，不直接全梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
365,P3 先解决具体问题,C384-302,sonidegib,Protein smoothened,LCK — Tyrosine-protein kinase Lck,PAZOPANIB HYDROCHLORIDE,DASATINIB ANHYDROUS,19,先解决具体问题,实测浓度/聚集，查既有激酶面板后小筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
366,P3 先解决具体问题,C384-360,oliceridine,Mu-type opioid receptor,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",LEVOKETOCONAZOLE; METYRAPONE; MITOTANE; OSILODROSTAT PHOSPHATE,KETOCONAZOLE,19,先解决具体问题,11B1/11B2产物与参考物测通，测单一奥利西定。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
367,P3 先解决具体问题,C384-068,tetracaine,Sodium channel alpha subunit,F12 — Coagulation factor XII,HUMAN C1-ESTERASE INHIBITOR,SEPIMOSTAT,20,先解决具体问题,F12a对照已测通才做脱靶候补，先排非特异响应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
368,P3 先解决具体问题,C384-069,tedizolid,Bacterial 70S ribosome,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN CALCIUM; FLUVASTATIN SODIUM; LOVASTATIN; PITAVASTATIN CALCIUM; PITAVASTATIN MAGNESIUM; PITAVASTATIN SODIUM; PRAVASTATIN SODIUM; ROSUVASTATIN CALCIUM; SIMVASTATIN,ATORVASTATIN,20,先解决具体问题,先查旧安全panel与HMGCR酶活；不要将他汀联用研究作为直接支持。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
369,P3 先解决具体问题,C384-261,eltrombopag,Thrombopoietin receptor,HCK — Tyrosine-protein kinase HCK,BOSUTINIB,STAUROSPORINE,20,先解决具体问题,明确宿主免疫预期方向；如只做HCK结合探索可单独定位。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
370,P3 先解决具体问题,C384-262,dexrazoxane,DNA topoisomerase II; Iron,MMP8 — Neutrophil collagenase,DOXYCYCLINE; DOXYCYCLINE CALCIUM; DOXYCYCLINE HYCLATE,CIPEMASTAT,20,先解决具体问题,核对化学种和成熟MMP8参考物，再做特异性反筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
371,P3 先解决具体问题,C384-362,remimazolam,GABA-A receptor; anion channel,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,20,先解决具体问题,核对稳定性/实体后测FAAH并归因母药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
